app,name,time,avgMem,avgCpu,maxMem
Math,testInterval,0.045, 26.7451171875, 45.92886458989379,29.0126953125
Math,testInterval,0.002, 29.0126953125, 100.0,29.0126953125
Math,testInterval,0.002, 30.2734375, 33.33333333333333,30.2734375
Math,testInterval,0.001, 31.533203125, 0.0,31.533203125
Math,testInterval,0.001, 32.79296875, 50.0,32.79296875
Math,testInterval,0.001, 34.052734375, 100.0,34.052734375
Math,testInterval,0.001, 35.3134765625, 33.33333333333333,35.3134765625
Math,testInterval,0.001, 36.5732421875, 0.0,36.5732421875
Math,testInterval,0.001, 37.8330078125, 0.0,37.8330078125
Math,testInterval,0.001, 40.353515625, 50.0,40.353515625
