app,name,time,maxMem,maxCpu
Math,testDerivativesHighOrder,0.154,27, 0.23011360844314707
Math,testDerivativesHighOrder,0.001,0, 0.0
Math,testDerivativesHighOrder,0.002,29, 0.36363636363636365
Math,testDerivativesHighOrder,0.001,30, 0.0
Math,testDerivativesHighOrder,0.001,0, 0.0
Math,testDerivativesHighOrder,0.002,32, 0.3333333333333333
Math,testDerivativesHighOrder,0.001,34, 0.36813186813186816
Math,testDerivativesHighOrder,0.002,0, 0.0
Math,testDerivativesHighOrder,0.001,36, 0.0
Math,testDerivativesHighOrder,0.002,39, 0.4
